Parameter,Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Overfitting
lambdaR2,CatBoost,0.9980237345529466,0.991412216287304,0.00012578181445121632,0.00020215891001296459,0.00017448463406516222,0.00035687314498306273,0.006611518265642546
lambdaR2,RandomForest,0.9853213180124294,0.9220288626146279,0.0002950460012089987,0.0006207940312444651,0.0004755301733649879,0.0010753262655593138,0.06329245539780148
lambdaR2,ExtraTrees,0.9891440733058539,0.9383258497013709,0.0003042585700108754,0.0005666364182567051,0.000408947915871257,0.0009563677144431477,0.05081822360448296
lambdaR2,SVR,-10.269649750649176,-10.595232412542957,0.012682033797365183,0.012646286702423189,0.013176187236358314,0.013113331741198813,0.3255826618937814
lambdaR2,NeuralNet,-15.744026997106008,-49.66815674959822,0.012776154090087359,0.020073877252451702,0.016060701333634974,0.027412009386945945,33.924129752492206
lambdaR2,ElasticNet,0.0,-0.00012410165660048378,0.002941181749554982,0.0028589609588044523,0.003924953791946571,0.0038512371814197633,0.00012410165660048378
K,XGBoost,0.9999544919682017,0.9972384378784993,17.88308634367164,116.34445488009163,24.03758148564128,181.48586373565553,0.0027160540897024354
K,LightGBM,0.9999313777787145,0.9986963309168359,21.013592054959414,73.28833048734055,29.51746989811394,124.69501082242823,0.001235046861878697
K,CatBoost,0.999606082086273,0.9988888549251346,50.212420861449864,70.3794611766853,70.72119795096145,115.11999893953718,0.0007172271611384229
K,RandomForest,0.9996455812761447,0.9978150558974905,38.59566584961662,85.61357008429943,67.0818562719003,161.43048797706942,0.0018305253786541353
K,ExtraTrees,0.9990914043505827,0.9973918435075523,78.59933014345614,120.91830681630998,107.40687216672505,176.37304673319574,0.0016995608430304676
K,SVR,-0.05931835065276059,-0.03211606367894326,3106.063401364837,2940.923159756855,3667.4144419906124,3508.566099540555,-0.027202286973817325
K,NeuralNet,0.9998477139646187,0.9967457989387927,32.66386106426782,112.51476768941802,43.97205709812822,197.00968894608334,0.0031019150258260186
K,ElasticNet,0.602434007491688,0.6218490059315749,1826.4172110199383,1726.0470918203657,2246.7324455217313,2123.72371796935,-0.01941499843988692
beta1,XGBoost,0.9990496643595727,0.992741026185234,0.0002544456923423498,0.0006176706478381653,0.00033518278552853475,0.0009338677876531681,0.006308638174338688
