Parameter_Set,Eigenvalue_Index,Real_Part,Imaginary_Part,Magnitude,Stable
6,15,-0.11986308638342602,0.0,0.11986308638342602,True
7,1,-0.14435068695917153,0.0,0.14435068695917153,True
7,2,-9.064827856410918,0.0,9.064827856410918,True
7,3,-0.34297425912786006,0.0,0.34297425912786006,True
7,4,-0.24124018511467638,0.0,0.24124018511467638,True
7,5,-0.21139319027265874,0.0,0.21139319027265874,True
7,6,-0.12483526792630142,0.0,0.12483526792630142,True
7,7,-0.10910705593753187,0.0,0.10910705593753187,True
7,8,-0.06907928459114783,0.0,0.06907928459114783,True
7,9,0.0047708408402570525,0.0,0.0047708408402570525,False
7,10,-0.0006989928903244522,0.0,0.0006989928903244522,True
7,11,-0.008555196231758499,0.0,0.008555196231758499,True
7,12,-0.046082750581693956,0.0,0.046082750581693956,True
7,13,-0.034753616100899366,0.0,0.034753616100899366,True
7,14,-0.12801206761281492,0.0,0.12801206761281492,True
7,15,-0.14659603531086418,0.0,0.14659603531086418,True
8,1,-0.040383607569083324,0.0,0.040383607569083324,True
8,2,-31.82460766464222,0.0,31.82460766464222,True
8,3,-0.18292429032527752,0.0,0.18292429032527752,True
8,4,-0.1461710842392509,0.023935414010009863,0.14811782442200788,True
8,5,-0.1461710842392509,-0.023935414010009863,0.14811782442200788,True
8,6,-0.1413785033707542,0.0,0.1413785033707542,True
8,7,-0.10461941105804155,0.0,0.10461941105804155,True
8,8,-0.06741818682101315,0.0,0.06741818682101315,True
8,9,-0.03751397170757283,0.0,0.03751397170757283,True
8,10,-0.0007209431383049839,0.0,0.0007209431383049839,True
8,11,-0.004950024009684569,0.0,0.004950024009684569,True
8,12,-0.003079861298227764,0.0,0.003079861298227764,True
8,13,-0.01980137355434252,0.0,0.01980137355434252,True
8,14,-0.34870424325816884,0.0,0.34870424325816884,True
8,15,-0.2548272814983932,0.0,0.2548272814983932,True
9,1,-0.10730072386166967,0.0,0.10730072386166967,True
9,2,-10.746913977843395,0.0,10.746913977843395,True
9,3,-0.5046652851752496,0.0,0.5046652851752496,True
9,4,-0.34958199988481076,0.0,0.34958199988481076,True
9,5,-0.20167254906661253,0.02070341873519359,0.20273245570048717,True
9,6,-0.20167254906661253,-0.02070341873519359,0.20273245570048717,True
9,7,-0.16400269484268795,0.0,0.16400269484268795,True
9,8,-0.03686688658282463,0.0,0.03686688658282463,True
9,9,-0.04376313150108734,0.0,0.04376313150108734,True
9,10,-0.0023164295818613287,0.0,0.0023164295818613287,True
9,11,-0.006338884966749327,0.0,0.006338884966749327,True
9,12,-0.005453587875088844,0.0,0.005453587875088844,True
9,13,-0.004431729427507904,0.0,0.004431729427507904,True
9,14,-0.09162243186366936,0.0,0.09162243186366936,True
9,15,-0.1423158590974083,0.0,0.1423158590974083,True
10,1,-0.06663390950123471,0.0,0.06663390950123471,True
10,2,-0.00867712153214753,0.0,0.00867712153214753,True
10,3,-39.37547017637779,0.0,39.37547017637779,True
10,4,-0.2292954066401145,0.0,0.2292954066401145,True
10,5,-0.14192474517529555,0.012143336853283282,0.14244330073051834,True
10,6,-0.14192474517529555,-0.012143336853283282,0.14244330073051834,True
10,7,-0.030715927660709588,0.0,0.030715927660709588,True
